Time (s),PPG Signal Intensity
5.366666666666666252e+00,5.814505469708365837e+01
5.400000000000000355e+00,5.793502782772934978e+01
5.433333333333333570e+00,5.771767507335916747e+01
5.466666666666666785e+00,5.753368065720131597e+01
5.500000000000000000e+00,5.740131915983596400e+01
5.533333333333333215e+00,5.734368615914593903e+01
5.566666666666666430e+00,5.734078228243132713e+01
5.599999999999999645e+00,5.736040307516439896e+01
5.633333333333333748e+00,5.739793298082543771e+01
5.666666666666666963e+00,5.744662103058427505e+01
5.700000000000000178e+00,5.750917916474983116e+01
5.733333333333333393e+00,5.757837914366557186e+01
5.766666666666666607e+00,5.765235986812748337e+01
5.799999999999999822e+00,5.772415647739619260e+01
5.833333333333333037e+00,5.780886993629409432e+01
5.866666666666666252e+00,5.789861643299728655e+01
5.900000000000000355e+00,5.799072216617169317e+01
5.933333333333333570e+00,5.807960991517499139e+01
5.966666666666666785e+00,5.815933786296271535e+01
6.000000000000000000e+00,5.823205753997287104e+01
6.033333333333333215e+00,5.830114301483904171e+01
6.066666666666666430e+00,5.836546830566233979e+01
6.099999999999999645e+00,5.842219224395690702e+01
6.133333333333333748e+00,5.847254139745027857e+01
6.166666666666666963e+00,5.851317334567012551e+01
6.200000000000000178e+00,5.856381565305415648e+01
6.233333333333333393e+00,5.862830336668469755e+01
6.266666666666666607e+00,5.867886501808705191e+01
6.299999999999999822e+00,5.865801489140728364e+01
6.333333333333333037e+00,5.856698097015434712e+01
6.366666666666666252e+00,5.841977252094476825e+01
6.400000000000000355e+00,5.823610371274525477e+01
6.433333333333333570e+00,5.802382117678003937e+01
6.466666666666666785e+00,5.781034977643712125e+01
6.500000000000000000e+00,5.762147413781077177e+01
6.533333333333333215e+00,5.749481462410775379e+01
6.566666666666666430e+00,5.744570031521821818e+01
6.599999999999999645e+00,5.746881107463467941e+01
6.633333333333333748e+00,5.752884338930235231e+01
6.666666666666666963e+00,5.758901915530547910e+01
6.700000000000000178e+00,5.766776367949834992e+01
6.733333333333333393e+00,5.776054297615553423e+01
6.766666666666666607e+00,5.786280550386128851e+01
6.799999999999999822e+00,5.795832712567599998e+01
6.833333333333333037e+00,5.805983438841715838e+01
6.866666666666666252e+00,5.816333171716423323e+01
6.900000000000000355e+00,5.826904467857830383e+01
6.933333333333333570e+00,5.836483869674910352e+01
6.966666666666666785e+00,5.844411718837115899e+01
7.000000000000000000e+00,5.851240311698440166e+01
7.033333333333333215e+00,5.857131496041030516e+01
7.066666666666666430e+00,5.862466324003977292e+01
7.099999999999999645e+00,5.867067014818213266e+01
7.133333333333333748e+00,5.872003722851836471e+01
7.166666666666666963e+00,5.876422518418218743e+01
7.200000000000000178e+00,5.881354480316706912e+01
7.233333333333333393e+00,5.886343310889920843e+01
7.266666666666666607e+00,5.891234365416239882e+01
7.299999999999999822e+00,5.897845396227128845e+01
7.333333333333333037e+00,5.904611956078528578e+01
7.366666666666666252e+00,5.909294021655784945e+01
7.400000000000000355e+00,5.907468791819997023e+01
7.433333333333333570e+00,5.899078369821280177e+01
7.466666666666666785e+00,5.885482197745892563e+01
7.500000000000000000e+00,5.868370324436119034e+01
7.533333333333333215e+00,5.848072757663506849e+01
7.566666666666666430e+00,5.827708592530239429e+01
7.599999999999999645e+00,5.810362385604847191e+01
7.633333333333333748e+00,5.798213113882838599e+01
7.666666666666666963e+00,5.794150064995251626e+01
7.700000000000000178e+00,5.796520767118312989e+01
7.733333333333333393e+00,5.802015547894352920e+01
7.766666666666666607e+00,5.808045929693589216e+01
7.799999999999999822e+00,5.815715220130050511e+01
7.833333333333333037e+00,5.825398967220075264e+01
7.866666666666666252e+00,5.835948780511170497e+01
7.900000000000000355e+00,5.847521759472222413e+01
7.933333333333333570e+00,5.859388619817794819e+01
7.966666666666666785e+00,5.871741942678701776e+01
8.000000000000000000e+00,5.883326535404111723e+01
8.033333333333333215e+00,5.893376216265185263e+01
8.066666666666666430e+00,5.902388410282136277e+01
8.099999999999999645e+00,5.909135778671090122e+01
8.133333333333332860e+00,5.915118962672149650e+01
8.166666666666666075e+00,5.920139140825377666e+01
8.199999999999999289e+00,5.925545073690327058e+01
8.233333333333332504e+00,5.930375619894464734e+01
8.266666666666667496e+00,5.936258954273297661e+01
8.300000000000000711e+00,5.941915665600246399e+01
8.333333333333333925e+00,5.948387546873247800e+01
8.366666666666667140e+00,5.954271900614744339e+01
8.400000000000000355e+00,5.957562991385069040e+01
8.433333333333333570e+00,5.957550144801763992e+01
8.466666666666666785e+00,5.953650246215279651e+01
8.500000000000000000e+00,5.950878380499280951e+01
8.533333333333333215e+00,5.943755433188979964e+01
8.566666666666666430e+00,5.934820008494627075e+01
8.599999999999999645e+00,5.924423878960617174e+01
8.633333333333332860e+00,5.912918817131345151e+01
8.666666666666666075e+00,5.900656595551207317e+01
